scene_id,under_warning_rate,over_warning_rate,adaptive_under_warning_rate,adaptive_over_warning_rate,static_under_warning_rate,static_over_warning_rate,gt_tier_distribution,adaptive_tier_accuracy,static_tier_accuracy,adaptive_intervention_recall,static_intervention_recall,adaptive_emergency_recall,static_emergency_recall,cue_risk_monotonicity,shap_alignment,warning_lead_time_s,min_distance_m,cue_flicker_hz,visual_clutter,mean_score,tier_distribution,ablation,dataset,env_risk,mean_traj_risk,mean_vru_risk,top_factor
e9df548a3ee566c7_1981_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 41, 'intervention': 15}",0.5892857142857143,0.7321428571428571,0.0,0.0,0.0,0.0,-0.6061881843392659,0.0,0.0,3.760047674179077,0.7272727272727273,0.3,55.75398335833166,"{'silent': 8, 'advisory': 48}",full,waymo,0.4461533597185225,0.6560177907074606,0.22397828439012096,trajectory
83d8b54e36003b1c_1459_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 61},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.652706146240234,0.0,0.0,81.8397935309165,{'silent': 61},full,waymo,0.4461533597185225,0.0005274993409620221,0.009941570003790897,environmental
83d8b54e36003b1c_1451_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 60},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.652706146240234,0.0,0.0,81.83866715615703,{'silent': 60},full,waymo,0.4461533597185226,0.0005362909964740885,0.00997032417359414,environmental
83d8b54e36003b1c_1452_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 3, 'silent': 49}",0.9423076923076923,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.14910888671875,0.0,0.0,81.23385671763783,{'silent': 52},full,waymo,0.4461533597185225,0.02164976219005204,0.00901720093065726,environmental
b9e482dcb539d3c0_2165_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 4, 'silent': 46, 'intervention': 1}",0.9803921568627451,0.0784313725490196,0.0,0.0,0.0,0.0,-0.5151549430847144,0.0,0.0,6.240941047668457,1.2,0.03431372549019608,73.98380604431901,"{'advisory': 5, 'silent': 46}",full,waymo,0.4553778079978574,0.07527901594291082,0.18475703858264556,environmental
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26944_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 1, 'advisory': 47, 'intervention': 16}",0.65625,0.734375,0.0,0.0,0.0,0.0,-0.5406548735632486,0.0,0.0,5.246325143903048,0.6349206349206349,0.31171875000000004,59.00413572470575,"{'advisory': 57, 'silent': 7}",full,argoverse,0.4553778079978576,0.6283523008074451,0.13100609770521987,trajectory
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26953_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 1, 'advisory': 77, 'intervention': 16}",0.6808510638297872,0.8191489361702128,0.0,0.0,0.0,0.0,-0.6343318611081883,0.0,0.0,5.246325143903048,0.7526881720430108,0.29414893617021287,60.725024806375565,"{'silent': 15, 'advisory': 79}",full,argoverse,0.4553778079978576,0.5720079713219565,0.12998745780171406,trajectory
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26955_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 48, 'silent': 11, 'intervention': 13}",0.625,0.6666666666666666,0.0,0.0,0.0,0.0,-0.8246866347489057,0.0,0.0,5.246325143903048,1.267605633802817,0.22847222222222227,63.00177978165506,"{'advisory': 47, 'silent': 25}",full,argoverse,0.4553778079978575,0.49940025396189747,0.12670334265245747,trajectory
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26957_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 1, 'advisory': 70, 'intervention': 16}",0.6551724137931034,0.8045977011494253,0.0,0.0,0.0,0.0,-0.6543075677650932,0.0,0.0,5.246325143903048,0.8139534883720929,0.28965517241379324,60.81554492396043,"{'silent': 15, 'advisory': 72}",full,argoverse,0.4553778079978576,0.5733386954739799,0.12563939639686242,trajectory
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26966_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 45, 'intervention': 16}",0.6721311475409836,0.7377049180327869,0.0,0.0,0.0,0.0,-0.42880178141180275,0.0,0.0,5.246325143903048,0.6666666666666666,0.32704918032786895,58.34540727467132,"{'advisory': 57, 'silent': 4}",full,argoverse,0.4553778079978575,0.6451243231797266,0.13619169033408612,trajectory
0015197d-b916-43b6-bcaa-8a7d90d7b87d_27022_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 1, 'advisory': 47, 'intervention': 16}",0.65625,0.734375,0.0,0.0,0.0,0.0,-0.5406548735632486,0.0,0.0,5.246325143903048,0.6349206349206349,0.31171875000000004,59.00413572470575,"{'advisory': 57, 'silent': 7}",full,argoverse,0.4553778079978575,0.6283523008074451,0.13100609770521987,trajectory
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7637_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 20, 'silent': 31}",0.6274509803921569,0.39215686274509803,0.0,0.0,0.0,0.0,-0.24019223070763068,0.0,0.0,13.0779597103601,0.4,0.006862745098039216,72.93675339787745,"{'advisory': 1, 'silent': 50}",full,argoverse,0.4553778079978576,0.26573653078248266,0.02920127862445888,environmental
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7719_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 23, 'silent': 31}",0.5925925925925926,0.42592592592592593,0.0,0.0,0.0,0.0,-0.23354968324845687,0.0,0.0,13.0779597103601,0.37735849056603776,0.006481481481481481,72.842542776832,"{'advisory': 1, 'silent': 53}",full,argoverse,0.4553778079978576,0.2691196941149072,0.028958469326882792,environmental
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7791_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 27, 'silent': 66}",0.7204301075268817,0.2903225806451613,0.0,0.0,0.0,0.0,-0.17864740025262407,0.0,0.0,13.0779597103601,0.2173913043478261,0.0037634408602150535,74.29116596281156,"{'advisory': 1, 'silent': 92}",full,argoverse,0.4553778079978574,0.2307669370637009,0.019023786845436895,environmental
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7834_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 27, 'silent': 39}",0.6060606060606061,0.4090909090909091,0.0,0.0,0.0,0.0,-0.21160368475757946,0.0,0.0,13.0779597103601,0.3076923076923077,0.0053030303030303025,72.91726906403416,"{'advisory': 1, 'silent': 65}",full,argoverse,0.4553778079978576,0.2694777290806787,0.026109558121039107,environmental
001d7c9e-4f80-4d1d-9ad9-5b6432c4fb36_7174_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 44, 'intervention': 20}",0.359375,0.6875,0.0,0.0,0.0,0.0,-0.8133501469468493,0.0,0.0,5.948764733383713,0.47619047619047616,0.23515625,61.89078955046505,"{'advisory': 43, 'silent': 21}",full,argoverse,0.4553778079978575,0.6030828626031141,0.06005374171757451,trajectory
001e7a56-f046-4f05-bd8f-ddf320079eae_128636_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 50},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.46465415725576,0.0,0.0,77.08813556267081,{'silent': 50},full,argoverse,0.4553778079978575,0.003045731664989117,0.15351267224884071,environmental
001e7a56-f046-4f05-bd8f-ddf320079eae_128706_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 76},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.504280071130132,0.0,0.0,77.21061345642076,{'silent': 76},full,argoverse,0.4553778079978575,0.00011509726109841222,0.1523607101943993,environmental
00230ccd-4922-4f8c-b67f-ba70d0db22d3_80443_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 22, 'advisory': 75}",0.6804123711340206,0.7731958762886598,0.0,0.0,0.0,0.0,-0.862335461974974,0.0,0.0,10.309420059594347,0.7291666666666667,0.15876288659793814,69.18722889347569,"{'silent': 53, 'advisory': 44}",full,argoverse,0.4666227184390223,0.3725278436615736,0.03240090197054041,environmental
00230ccd-4922-4f8c-b67f-ba70d0db22d3_80484_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 19, 'advisory': 75}",0.6702127659574468,0.7978723404255319,0.0,0.0,0.0,0.0,-0.8643083144797218,0.0,0.0,10.309420059594347,0.7526881720430108,0.16382978723404257,68.93091272869029,"{'silent': 50, 'advisory': 44}",full,argoverse,0.4666227184390223,0.38003849351762287,0.03343412427400461,environmental
002ba35d-be70-4ce4-b15a-01a28e0ae801_124980_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 25, 'silent': 35, 'intervention': 15}",0.68,0.3333333333333333,0.0,0.0,0.0,0.0,-0.852992389807612,0.0,0.0,4.417922314372978,0.5405405405405405,0.14466666666666667,65.80964596881046,"{'advisory': 31, 'silent': 44}",full,argoverse,0.4553778079978576,0.43762078540555127,0.09488727163695611,environmental
002ba35d-be70-4ce4-b15a-01a28e0ae801_124999_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 25, 'silent': 60, 'intervention': 15}",0.76,0.25,0.0,0.0,0.0,0.0,-0.8011018514631217,0.0,0.0,4.417922314372978,0.40404040404040403,0.1085,69.73892528417142,"{'advisory': 31, 'silent': 69}",full,argoverse,0.4553778079978575,0.3283325846660251,0.07319949519778443,environmental
002ba35d-be70-4ce4-b15a-01a28e0ae801_125007_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 14, 'silent': 63, 'intervention': 9}",0.813953488372093,0.16279069767441862,0.0,0.0,0.0,0.0,-0.674063094054803,0.0,0.0,4.417922314372978,0.11764705882352941,0.06511627906976741,73.00835275095139,"{'advisory': 16, 'silent': 70}",full,argoverse,0.4553778079978575,0.24463006416592806,0.0479211001385488,environmental
002ba35d-be70-4ce4-b15a-01a28e0ae801_125055_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 25, 'silent': 60, 'intervention': 15}",0.76,0.25,0.0,0.0,0.0,0.0,-0.8011018514631217,0.0,0.0,4.417922314372978,0.40404040404040403,0.10849999999999999,69.83185740363545,"{'advisory': 31, 'silent': 69}",full,argoverse,0.4553778079978576,0.3257014602865319,0.07273288226180925,environmental
003363ad-fa78-45f9-a8d7-716f4ea6d586_28550_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'emergency': 7, 'advisory': 44, 'silent': 37, 'intervention': 12}",0.54,0.44,0.0,0.0,0.0,0.0,-0.831425959970394,0.0,0.0,3.808646403469341,0.30303030303030304,0.12599999999999997,66.89785503904908,"{'advisory': 36, 'silent': 64}",full,argoverse,0.4665456582408972,0.43997676115782286,0.041367193219345004,environmental
scene-0061_bbd6c47a20e34276bc6f2cfbc6ba6205_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 7, 'advisory': 11, 'intervention': 2}",0.65,0.55,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4166933610851112,0.13999999999999999,66.10911930414478,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978575,0.39549714521560136,0.12702846731576262,environmental
scene-0061_3843d35144d84c02b387678f9bc7f2ed_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'emergency': 3, 'advisory': 3, 'silent': 3, 'intervention': 3}",0.25,0.25,0.0,0.0,0.0,0.0,-0.916057224828689,1.0,3.448807,2.677125974241124,0.7274508866080475,0.22499999999999998,57.804385060938216,"{'advisory': 4, 'silent': 6, 'intervention': 2}",full,nuscenes,0.4553778079978576,0.623187256739023,0.17616283056589266,trajectory
scene-0061_03d01c950f044575b69137f069345db0_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 8, 'advisory': 10, 'intervention': 2}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.41884031702442437,0.13999999999999999,66.6383080453583,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978576,0.3765989543609045,0.12828703346334197,environmental
scene-0061_221dd725c6654412a04c71ced8ad6d03_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'emergency': 3, 'advisory': 3, 'silent': 4, 'intervention': 3}",0.3076923076923077,0.23076923076923078,0.0,0.0,0.0,0.0,-0.9032906873947423,1.0,3.9486649999999996,2.677125974241124,0.6668321521790992,0.20769230769230768,59.27578824772881,"{'advisory': 4, 'silent': 7, 'intervention': 2}",full,nuscenes,0.4553778079978575,0.5867811820928152,0.16352213231908083,trajectory
scene-0061_b4db946778484c2195efa320571f53dc_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 10, 'silent': 8, 'intervention': 2}",0.7,0.5,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4166693576562682,0.13999999999999999,66.36669627859087,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978576,0.3865214793445419,0.1274182340386189,environmental
scene-0061_e2f67391cb914b0cbdda3995dbc397f8_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'silent': 7, 'advisory': 11, 'intervention': 2}",0.65,0.55,0.0,0.0,0.0,0.0,-0.8495907904857465,0.0,0.0,4.141439698693297,0.4166933610851112,0.13999999999999999,66.10911930414478,"{'advisory': 8, 'silent': 12}",full,nuscenes,0.4553778079978575,0.39549714521560136,0.12702846731576262,environmental
