scene_id,dataset,mean_score
e9df548a3ee566c7_1981_clip000,waymo,55.75398336
83d8b54e36003b1c_1459_clip000,waymo,81.83979353
83d8b54e36003b1c_1451_clip000,waymo,81.83866716
83d8b54e36003b1c_1452_clip000,waymo,81.23385672
b9e482dcb539d3c0_2165_clip000,waymo,73.98380604
50dc97736fe84d0c_127_clip000,waymo,69.56466926
85854001f041a3e7_1639_clip000,waymo,62.05478785
85854001f041a3e7_1640_clip000,waymo,70.21631221
85854001f041a3e7_1666_clip000,waymo,62.87601965
6096f098e044da4a_3833_clip000,waymo,58.72202321
6096f098e044da4a_3834_clip000,waymo,58.52589805
6096f098e044da4a_3832_clip000,waymo,56.13135377
ed113a1f9f720267_201_clip000,waymo,57.42219879
ed113a1f9f720267_207_clip000,waymo,56.57926903
2dfc9b44472687e5_3673_clip000,waymo,74.39603634
b6e95acbf4cfb49f_106_clip000,waymo,70.88616703
b6e95acbf4cfb49f_86_clip000,waymo,69.8953212
b6e95acbf4cfb49f_87_clip000,waymo,71.54995737
23e64af0cc14a40a_2145_clip000,waymo,71.41767795
23e64af0cc14a40a_2148_clip000,waymo,70.22494203
f73a9362b09347f6_65_clip000,waymo,63.57525255
16adef60bcaf35af_2492_clip000,waymo,70.41367145
16adef60bcaf35af_2519_clip000,waymo,73.9042837
16adef60bcaf35af_2494_clip000,waymo,71.37366279
100d033b60683a9f_3659_clip000,waymo,77.29856548
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26944_clip000,argoverse,59.00413572
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26953_clip000,argoverse,60.72502481
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26955_clip000,argoverse,63.00177978
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26957_clip000,argoverse,60.81554492
0015197d-b916-43b6-bcaa-8a7d90d7b87d_26966_clip000,argoverse,58.34540727
0015197d-b916-43b6-bcaa-8a7d90d7b87d_27022_clip000,argoverse,59.00413572
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7637_clip000,argoverse,72.9367534
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7719_clip000,argoverse,72.84254278
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7791_clip000,argoverse,74.29116596
001749f1-bc1c-47fb-a13f-9ab1f2c050a8_7834_clip000,argoverse,72.91726906
001d7c9e-4f80-4d1d-9ad9-5b6432c4fb36_7174_clip000,argoverse,61.89078955
001e7a56-f046-4f05-bd8f-ddf320079eae_128636_clip000,argoverse,77.08813556
001e7a56-f046-4f05-bd8f-ddf320079eae_128706_clip000,argoverse,77.21061346
00230ccd-4922-4f8c-b67f-ba70d0db22d3_80443_clip000,argoverse,69.18722889
00230ccd-4922-4f8c-b67f-ba70d0db22d3_80484_clip000,argoverse,68.93091273
002ba35d-be70-4ce4-b15a-01a28e0ae801_124980_clip000,argoverse,65.80964597
002ba35d-be70-4ce4-b15a-01a28e0ae801_124999_clip000,argoverse,69.73892528
002ba35d-be70-4ce4-b15a-01a28e0ae801_125007_clip000,argoverse,73.00835275
002ba35d-be70-4ce4-b15a-01a28e0ae801_125055_clip000,argoverse,69.8318574
003363ad-fa78-45f9-a8d7-716f4ea6d586_28550_clip000,argoverse,66.89785504
003a8853-461a-4fa4-9a04-be07aae9b70c_128459_clip000,argoverse,81.79339053
00404e6d-ff66-460e-8f22-bc61fc9f7f9d_93148_clip000,argoverse,65.5073458
00422cc5-b120-49db-982f-fc0c1e1eaf8d_29351_clip000,argoverse,67.04956754
00422cc5-b120-49db-982f-fc0c1e1eaf8d_29382_clip000,argoverse,66.86585646
00422cc5-b120-49db-982f-fc0c1e1eaf8d_29407_clip000,argoverse,66.28492875
00450480-0bcd-46b9-a48b-5337d8c9d0a3_283348_clip000,argoverse,64.2101321
00450480-0bcd-46b9-a48b-5337d8c9d0a3_283414_clip000,argoverse,64.2101321
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_24862_clip000,argoverse,65.33888289
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_24914_clip000,argoverse,60.42694456
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_24944_clip000,argoverse,59.90513217
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_24970_clip000,argoverse,60.56946218
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_24974_clip000,argoverse,59.71683691
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_25002_clip000,argoverse,60.09563331
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_25023_clip000,argoverse,60.09563331
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_25062_clip000,argoverse,65.18418522
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_25079_clip000,argoverse,59.90513217
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_25095_clip000,argoverse,65.18418522
005b26cb-7ddc-4e9e-b2d1-55c49f1c6e85_25113_clip000,argoverse,60.28913687
005f3e26-75cb-43a5-b61a-89343d490fdf_112169_clip000,argoverse,63.69376822
005f3e26-75cb-43a5-b61a-89343d490fdf_112184_clip000,argoverse,63.69376822
005f3e26-75cb-43a5-b61a-89343d490fdf_112192_clip000,argoverse,74.95852121
005f3e26-75cb-43a5-b61a-89343d490fdf_112225_clip000,argoverse,63.69376822
005f3e26-75cb-43a5-b61a-89343d490fdf_112240_clip000,argoverse,68.71315848
005f3e26-75cb-43a5-b61a-89343d490fdf_112350_clip000,argoverse,68.87197297
008415aa-6a7d-4c51-9b82-f29bc76f7f28_5638_clip000,argoverse,65.70144473
0085e780-a3b2-4432-a64f-56e7b3394432_175943_clip000,argoverse,64.30410167
009cf3d3-fd2c-4361-b926-eca40c138446_29409_clip000,argoverse,73.12685651
009cf3d3-fd2c-4361-b926-eca40c138446_29414_clip000,argoverse,74.55728602
009cf3d3-fd2c-4361-b926-eca40c138446_29465_clip000,argoverse,73.70465158
009cf3d3-fd2c-4361-b926-eca40c138446_29739_clip000,argoverse,73.12685651
scene-0061_bbd6c47a20e34276bc6f2cfbc6ba6205_clip000,nuscenes,66.1091193
scene-0061_3843d35144d84c02b387678f9bc7f2ed_clip000,nuscenes,57.80438506
scene-0061_03d01c950f044575b69137f069345db0_clip000,nuscenes,66.63830805
scene-0061_221dd725c6654412a04c71ced8ad6d03_clip000,nuscenes,59.27578825
scene-0061_b4db946778484c2195efa320571f53dc_clip000,nuscenes,66.36669628
scene-0061_e2f67391cb914b0cbdda3995dbc397f8_clip000,nuscenes,66.1091193
