scene_id,under_warning_rate,over_warning_rate,adaptive_under_warning_rate,adaptive_over_warning_rate,static_under_warning_rate,static_over_warning_rate,gt_tier_distribution,adaptive_tier_accuracy,static_tier_accuracy,adaptive_intervention_recall,static_intervention_recall,adaptive_emergency_recall,static_emergency_recall,cue_risk_monotonicity,shap_alignment,warning_lead_time_s,min_distance_m,cue_flicker_hz,visual_clutter,mean_score,tier_distribution,dataset,frames,duration_s,num_vrus,lighting,weather,location,env_risk,trajectory_risk,vru_risk,mean_ttc
e9df548a3ee566c7_1981_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 15, 'advisory': 41}",0.5892857142857143,0.7321428571428571,0.0,0.0,0.0,0.0,-0.6061881843392659,0.0,0.0,3.760047674179077,0.7272727272727273,0.3,55.75398335833165,"{'advisory': 48, 'silent': 8}",waymo,56,5.5,5,day,clear,waymo,0.4461533597185227,0.6560177907074606,0.22397828439012096,12.547982215881348
83d8b54e36003b1c_1459_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 61},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.652706146240234,0.0,0.0,81.83979353091648,{'silent': 61},waymo,61,6.0,4,day,clear,waymo,0.4461533597185226,0.0005274993409620221,0.009941570003790897,1847.2449951171875
83d8b54e36003b1c_1451_clip000,0.0,0.0,0.0,0.0,0.0,0.0,{'silent': 60},1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.652706146240234,0.0,0.0,81.83866715615704,{'silent': 60},waymo,60,5.9,4,day,clear,waymo,0.4461533597185225,0.0005362909964740885,0.00997032417359414,1846.021484375
83d8b54e36003b1c_1452_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 3, 'silent': 49}",0.9423076923076923,0.057692307692307696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.14910888671875,0.0,0.0,81.23385671763783,{'silent': 52},waymo,52,5.1,4,day,clear,waymo,0.4461533597185226,0.02164976219005204,0.00901720093065726,1884.660400390625
b9e482dcb539d3c0_2165_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'intervention': 1, 'advisory': 4, 'silent': 46}",0.9803921568627451,0.0784313725490196,0.0,0.0,0.0,0.0,-0.5151549430847144,0.0,0.0,6.240941047668457,1.2,0.03431372549019608,73.983806044319,"{'advisory': 5, 'silent': 46}",waymo,51,5.0,17,day,clear,waymo,0.4553778079978576,0.07527901594291082,0.18475703858264556,678.6878662109375
50dc97736fe84d0c_127_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 37, 'silent': 38}",0.8533333333333334,0.49333333333333335,0.0,0.0,0.0,0.0,-0.8567363392840219,0.0,0.0,5.722689628601074,0.5405405405405405,0.14933333333333332,69.56466926343617,"{'advisory': 32, 'silent': 43}",waymo,75,7.4,6,day,clear,waymo,0.4666227184390223,0.27448644253164695,0.11786095743511747,1.5056818723678589
85854001f041a3e7_1639_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'intervention': 15, 'advisory': 30, 'silent': 28, 'emergency': 2}",0.6533333333333333,0.4,0.06666666666666667,0.0,0.0,0.0,-0.8637804367770482,1.0,2.5,3.178439140319824,1.081081081081081,0.23133333333333336,62.054787853085244,"{'intervention': 3, 'advisory': 44, 'silent': 28}",waymo,75,7.4,8,day,clear,waymo,0.4553778079978575,0.4814276161758325,0.17624237805751578,49.96699905395508
85854001f041a3e7_1640_clip000,0.0,0.0,0.0,0.0,0.0,0.0,"{'advisory': 11, 'silent': 44}",0.7090909090909091,0.2,0.0,0.0,0.0,0.0,-0.8625819491779428,0.0,0.0,5.772197723388672,2.5925925925925926,0.15909090909090906,70.2163122058632,"{'advisory': 25, 'silent': 30}",waymo,55,5.4,8,day,clear,waymo,0.4553778079978576,0.20168258300856298,0.18393659946551996,200.88356018066406
85854001f041a3e7_1666_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'intervention': 15, 'advisory': 17, 'silent': 44, 'emergency': 2}",0.5897435897435898,0.21794871794871795,0.06666666666666667,0.0,0.0,0.0,-0.8666877099570666,0.0,1.2000000000000002,3.178439140319824,2.0779220779220777,0.226923076923077,62.876019653161364,"{'intervention': 3, 'advisory': 45, 'silent': 30}",waymo,78,7.7,8,day,clear,waymo,0.4553778079978575,0.4199636090049401,0.21033199189253735,141.94354248046875
6096f098e044da4a_3833_clip000,0.0,0.0,0.0,0.0,1.0,0.0,"{'intervention': 14, 'advisory': 55, 'silent': 22}",0.9120879120879121,0.6043956043956044,1.0,0.0,0.0,0.0,-0.8945874299652814,1.0,4.8999999999999995,2.4477639198303223,0.8888888888888888,0.31043956043956045,58.72202321185181,"{'intervention': 16, 'advisory': 51, 'silent': 24}",waymo,91,9.0,6,day,clear,waymo,0.4666227184390222,0.4806395565476658,0.27312937847191066,1.936591625213623
